"","StateFull","Year","Description","Value"
"110","Alaska","1998","Per capita net earnings 4/",19610
"111","Alaska","1998","Per capita personal current transfer receipts 4/",3985
"112","Alaska","1998","Per capita income maintenance benefits 4/",419
"113","Alaska","1998","Per capita unemployment insurance compensation 4/",176
"114","Alaska","1998","Per capita retirement and other 4/",3391
"115","Alaska","1998","Per capita dividends, interest, and rent 4/",5514
"116","Alaska","1998","Per capita dividends 4/",1103
"117","Alaska","1998","Per capita interest 4/",3832
"118","Alaska","1998","Per capita rent 4/",579
"119","Alaska","1998","Place of work profile (millions of dollars)",NA
"120","Alaska","1998","Earnings by place of work",14527.4
"121","Alaska","1998","Wages and salaries",10328.9
"122","Alaska","1998","Supplements to wages and salaries",2531.5
"123","Alaska","1998","Employer contributions for employee pension and insurance funds 5/",1715.1
"124","Alaska","1998","Employer contributions for government social insurance",816.4
"125","Alaska","1998","Proprietors' income",1666.9
"126","Alaska","1998","Farm proprietors' income",9.6
"127","Alaska","1998","Nonfarm proprietors' income",1657.3
"128","Alaska","1998","Total employment (number of jobs)",382166
"129","Alaska","1998","Wage and salary employment",298940
"130","Alaska","1998","Proprietors employment",83226
"131","Alaska","1998","Farm proprietors employment 6/",547
"132","Alaska","1998","Nonfarm proprietors employment",82679
"133","Alaska","1998","Average earnings per job (dollars)",38013
"134","Alaska","1998","Average wages and salaries",34552
"135","Alaska","1998","Average nonfarm proprietors' income",20045
"136","Arizona","1998","Place of residence profile",NA
"137","Arizona","1998","Personal income (millions of dollars)",117363.6
"138","Arizona","1998","Derivation of personal income",NA
"139","Arizona","1998","Net earnings by place of residence",76755.7
"140","Arizona","1998","Personal current transfer receipts",15130
"141","Arizona","1998","Income maintenance benefits 1/",1447.3
"142","Arizona","1998","Unemployment insurance compensation",172.8
"143","Arizona","1998","Retirement and other",13509.9
"144","Arizona","1998","Dividends, interest, and rent",25477.8
"145","Arizona","1998","Personal dividend income",5726.5
"146","Arizona","1998","Personal interest income",17106.8
"147","Arizona","1998","Imputed interest receipts 2/",9737.9
"148","Arizona","1998","Monetary interest receipts",7368.9
"149","Arizona","1998","Rental income of persons",2644.6
"150","Arizona","1998","Imputed rent",1843
"151","Arizona","1998","Monetary rent",801.6
"152","Arizona","1998","Population (persons) 3/",4883342
"153","Arizona","1998","Per capita incomes (dollars)",NA
"154","Arizona","1998","Per capita personal income 4/",24033
"155","Arizona","1998","Per capita net earnings 4/",15718
"156","Arizona","1998","Per capita personal current transfer receipts 4/",3098
"157","Arizona","1998","Per capita income maintenance benefits 4/",296
"158","Arizona","1998","Per capita unemployment insurance compensation 4/",35
"159","Arizona","1998","Per capita retirement and other 4/",2767
"160","Arizona","1998","Per capita dividends, interest, and rent 4/",5217
"161","Arizona","1998","Per capita dividends 4/",1173
"162","Arizona","1998","Per capita interest 4/",3503
"163","Arizona","1998","Per capita rent 4/",542
"164","Arizona","1998","Place of work profile (millions of dollars)",NA
"165","Arizona","1998","Earnings by place of work",86135.8
"166","Arizona","1998","Wages and salaries",64289.2
"167","Arizona","1998","Supplements to wages and salaries",12947.6
"168","Arizona","1998","Employer contributions for employee pension and insurance funds 5/",8191.5
"169","Arizona","1998","Employer contributions for government social insurance",4756.1
"170","Arizona","1998","Proprietors' income",8899.1
"171","Arizona","1998","Farm proprietors' income",538.5
"172","Arizona","1998","Nonfarm proprietors' income",8360.6
"173","Arizona","1998","Total employment (number of jobs)",2616288
"174","Arizona","1998","Wage and salary employment",2178443
"175","Arizona","1998","Proprietors employment",437845
"176","Arizona","1998","Farm proprietors employment 6/",7432
"177","Arizona","1998","Nonfarm proprietors employment",430413
"178","Arizona","1998","Average earnings per job (dollars)",32923
"179","Arizona","1998","Average wages and salaries",29512
"180","Arizona","1998","Average nonfarm proprietors' income",19425
"181","Arkansas","1998","Place of residence profile",NA
"182","Arkansas","1998","Personal income (millions of dollars)",55917.1
"183","Arkansas","1998","Derivation of personal income",NA
"184","Arkansas","1998","Net earnings by place of residence",35369.7
"185","Arkansas","1998","Personal current transfer receipts",9818.3
"186","Arkansas","1998","Income maintenance benefits 1/",1071.4
"187","Arkansas","1998","Unemployment insurance compensation",199.3
"188","Arkansas","1998","Retirement and other",8547.5
"189","Arkansas","1998","Dividends, interest, and rent",10729.2
"190","Arkansas","1998","Personal dividend income",2351.9
"191","Arkansas","1998","Personal interest income",7376.7
"192","Arkansas","1998","Imputed interest receipts 2/",4416.8
"193","Arkansas","1998","Monetary interest receipts",2959.9
"194","Arkansas","1998","Rental income of persons",1000.6
"195","Arkansas","1998","Imputed rent",594.9
"196","Arkansas","1998","Monetary rent",405.7
"197","Arkansas","1998","Population (persons) 3/",2626289
"198","Arkansas","1998","Per capita incomes (dollars)",NA
"199","Arkansas","1998","Per capita personal income 4/",21291
"200","Arkansas","1998","Per capita net earnings 4/",13468
"201","Arkansas","1998","Per capita personal current transfer receipts 4/",3738
"202","Arkansas","1998","Per capita income maintenance benefits 4/",408
"203","Arkansas","1998","Per capita unemployment insurance compensation 4/",76
"204","Arkansas","1998","Per capita retirement and other 4/",3255
"205","Arkansas","1998","Per capita dividends, interest, and rent 4/",4085
"206","Arkansas","1998","Per capita dividends 4/",896
"207","Arkansas","1998","Per capita interest 4/",2809
"208","Arkansas","1998","Per capita rent 4/",381
"209","Arkansas","1998","Place of work profile (millions of dollars)",NA
"210","Arkansas","1998","Earnings by place of work",40410
"211","Arkansas","1998","Wages and salaries",28569.2
"212","Arkansas","1998","Supplements to wages and salaries",6417.9
"213","Arkansas","1998","Employer contributions for employee pension and insurance funds 5/",4098.2
"214","Arkansas","1998","Employer contributions for government social insurance",2319.6
"215","Arkansas","1998","Proprietors' income",5422.9
"216","Arkansas","1998","Farm proprietors' income",1330.7
"217","Arkansas","1998","Nonfarm proprietors' income",4092.2
"218","Arkansas","1998","Total employment (number of jobs)",1445536
"219","Arkansas","1998","Wage and salary employment",1175697
"220","Arkansas","1998","Proprietors employment",269839
"221","Arkansas","1998","Farm proprietors employment 6/",50982
"222","Arkansas","1998","Nonfarm proprietors employment",218857
"223","Arkansas","1998","Average earnings per job (dollars)",27955
"224","Arkansas","1998","Average wages and salaries",24300
"225","Arkansas","1998","Average nonfarm proprietors' income",18698
"226","California","1998","Place of residence profile",NA
"227","California","1998","Personal income (millions of dollars)",962746.1
"228","California","1998","Derivation of personal income",NA
"229","California","1998","Net earnings by place of residence",654906.3
"230","California","1998","Personal current transfer receipts",111725.3
"231","California","1998","Income maintenance benefits 1/",18374.8
"232","California","1998","Unemployment insurance compensation",2633.8
"233","California","1998","Retirement and other",90716.7
"234","California","1998","Dividends, interest, and rent",196114.4
"235","California","1998","Personal dividend income",40205.2
"236","California","1998","Personal interest income",124385.7
"237","California","1998","Imputed interest receipts 2/",72052.8
"238","California","1998","Monetary interest receipts",52332.8
"239","California","1998","Rental income of persons",31523.5
"240","California","1998","Imputed rent",17520.9
"241","California","1998","Monetary rent",14002.7
"242","California","1998","Population (persons) 3/",32987675
"243","California","1998","Per capita incomes (dollars)",NA
"244","California","1998","Per capita personal income 4/",29185
"245","California","1998","Per capita net earnings 4/",19853
"246","California","1998","Per capita personal current transfer receipts 4/",3387
"247","California","1998","Per capita income maintenance benefits 4/",557
"248","California","1998","Per capita unemployment insurance compensation 4/",80
"249","California","1998","Per capita retirement and other 4/",2750
"250","California","1998","Per capita dividends, interest, and rent 4/",5945
"251","California","1998","Per capita dividends 4/",1219
"252","California","1998","Per capita interest 4/",3771
"253","California","1998","Per capita rent 4/",956
"254","California","1998","Place of work profile (millions of dollars)",NA
"255","California","1998","Earnings by place of work",730064.9
"256","California","1998","Wages and salaries",517592.6
"257","California","1998","Supplements to wages and salaries",106769.1
"258","California","1998","Employer contributions for employee pension and insurance funds 5/",70787.1
"259","California","1998","Employer contributions for government social insurance",35982
"260","California","1998","Proprietors' income",105703.2
"261","California","1998","Farm proprietors' income",3719
"262","California","1998","Nonfarm proprietors' income",101984.2
"263","California","1998","Total employment (number of jobs)",18432865
"264","California","1998","Wage and salary employment",14746957
"265","California","1998","Proprietors employment",3685908
"266","California","1998","Farm proprietors employment 6/",89428
"267","California","1998","Nonfarm proprietors employment",3596480
"268","California","1998","Average earnings per job (dollars)",39607
"269","California","1998","Average wages and salaries",35098
"270","California","1998","Average nonfarm proprietors' income",28357
"271","Colorado","1998","Place of residence profile",NA
"272","Colorado","1998","Personal income (millions of dollars)",122314.7
"273","Colorado","1998","Derivation of personal income",NA
"274","Colorado","1998","Net earnings by place of residence",85742.8
"275","Colorado","1998","Personal current transfer receipts",10718.6
"276","Colorado","1998","Income maintenance benefits 1/",1081.9
"277","Colorado","1998","Unemployment insurance compensation",150.9
"278","Colorado","1998","Retirement and other",9485.9
"279","Colorado","1998","Dividends, interest, and rent",25853.3
"280","Colorado","1998","Personal dividend income",6564.3
"281","Colorado","1998","Personal interest income",16144.8
"282","Colorado","1998","Imputed interest receipts 2/",9698.4
"283","Colorado","1998","Monetary interest receipts",6446.4
"284","Colorado","1998","Rental income of persons",3144.2
"285","Colorado","1998","Imputed rent",1990.1
"286","Colorado","1998","Monetary rent",1154.1
"287","Colorado","1998","Population (persons) 3/",4116639
"288","Colorado","1998","Per capita incomes (dollars)",NA
"289","Colorado","1998","Per capita personal income 4/",29712
"290","Colorado","1998","Per capita net earnings 4/",20828
"291","Colorado","1998","Per capita personal current transfer receipts 4/",2604
"292","Colorado","1998","Per capita income maintenance benefits 4/",263
"293","Colorado","1998","Per capita unemployment insurance compensation 4/",37
"294","Colorado","1998","Per capita retirement and other 4/",2304
"295","Colorado","1998","Per capita dividends, interest, and rent 4/",6280
"296","Colorado","1998","Per capita dividends 4/",1595
"297","Colorado","1998","Per capita interest 4/",3922
"298","Colorado","1998","Per capita rent 4/",764
"299","Colorado","1998","Place of work profile (millions of dollars)",NA
"300","Colorado","1998","Earnings by place of work",95221.8
"301","Colorado","1998","Wages and salaries",69857.4
"302","Colorado","1998","Supplements to wages and salaries",13878.3
"303","Colorado","1998","Employer contributions for employee pension and insurance funds 5/",9257.6
"304","Colorado","1998","Employer contributions for government social insurance",4620.8
"305","Colorado","1998","Proprietors' income",11486
"306","Colorado","1998","Farm proprietors' income",464.9
"307","Colorado","1998","Nonfarm proprietors' income",11021.2
"308","Colorado","1998","Total employment (number of jobs)",2732491
"309","Colorado","1998","Wage and salary employment",2172785
"310","Colorado","1998","Proprietors employment",559706
"311","Colorado","1998","Farm proprietors employment 6/",29586
"312","Colorado","1998","Nonfarm proprietors employment",530120
"313","Colorado","1998","Average earnings per job (dollars)",34848
"314","Colorado","1998","Average wages and salaries",32151
"315","Colorado","1998","Average nonfarm proprietors' income",20790
"316","Connecticut","1998","Place of residence profile",NA
"317","Connecticut","1998","Personal income (millions of dollars)",126866.7
"318","Connecticut","1998","Derivation of personal income",NA
"319","Connecticut","1998","Net earnings by place of residence",88782.2
"320","Connecticut","1998","Personal current transfer receipts",13840.1
"321","Connecticut","1998","Income maintenance benefits 1/",1237.9
"322","Connecticut","1998","Unemployment insurance compensation",325.2
"323","Connecticut","1998","Retirement and other",12277
"324","Connecticut","1998","Dividends, interest, and rent",24244.4
"325","Connecticut","1998","Personal dividend income",5440.1
"326","Connecticut","1998","Personal interest income",15937.2
"327","Connecticut","1998","Imputed interest receipts 2/",8170.8
"328","Connecticut","1998","Monetary interest receipts",7766.4
"329","Connecticut","1998","Rental income of persons",2867.1
"330","Connecticut","1998","Imputed rent",1927.5
"331","Connecticut","1998","Monetary rent",939.6
"332","Connecticut","1998","Population (persons) 3/",3365352
"333","Connecticut","1998","Per capita incomes (dollars)",NA
"334","Connecticut","1998","Per capita personal income 4/",37698
"335","Connecticut","1998","Per capita net earnings 4/",26381
"336","Connecticut","1998","Per capita personal current transfer receipts 4/",4113
"337","Connecticut","1998","Per capita income maintenance benefits 4/",368
"338","Connecticut","1998","Per capita unemployment insurance compensation 4/",97
"339","Connecticut","1998","Per capita retirement and other 4/",3648
"340","Connecticut","1998","Per capita dividends, interest, and rent 4/",7204
"341","Connecticut","1998","Per capita dividends 4/",1617
"342","Connecticut","1998","Per capita interest 4/",4736
"343","Connecticut","1998","Per capita rent 4/",852
"344","Connecticut","1998","Place of work profile (millions of dollars)",NA
"345","Connecticut","1998","Earnings by place of work",92892.7
"346","Connecticut","1998","Wages and salaries",68510.4
"347","Connecticut","1998","Supplements to wages and salaries",13573.5
"348","Connecticut","1998","Employer contributions for employee pension and insurance funds 5/",8901.2
"349","Connecticut","1998","Employer contributions for government social insurance",4672.2
"350","Connecticut","1998","Proprietors' income",10808.8
"351","Connecticut","1998","Farm proprietors' income",57.9
"352","Connecticut","1998","Nonfarm proprietors' income",10750.9
"353","Connecticut","1998","Total employment (number of jobs)",2036825
"354","Connecticut","1998","Wage and salary employment",1709380
"355","Connecticut","1998","Proprietors employment",327445
"356","Connecticut","1998","Farm proprietors employment 6/",4024
"357","Connecticut","1998","Nonfarm proprietors employment",323421
"358","Connecticut","1998","Average earnings per job (dollars)",45607
"359","Connecticut","1998","Average wages and salaries",40079
"360","Connecticut","1998","Average nonfarm proprietors' income",33241
"361","Delaware","1998","Place of residence profile",NA
"362","Delaware","1998","Personal income (millions of dollars)",22495.3
"363","Delaware","1998","Derivation of personal income",NA
"364","Delaware","1998","Net earnings by place of residence",15144.8
"365","Delaware","1998","Personal current transfer receipts",2699.5
"366","Delaware","1998","Income maintenance benefits 1/",208.7
"367","Delaware","1998","Unemployment insurance compensation",65.5
"368","Delaware","1998","Retirement and other",2425.3
"369","Delaware","1998","Dividends, interest, and rent",4650.9
"370","Delaware","1998","Personal dividend income",1230.8
"371","Delaware","1998","Personal interest income",2975.1
"372","Delaware","1998","Imputed interest receipts 2/",1633.6
"373","Delaware","1998","Monetary interest receipts",1341.6
"374","Delaware","1998","Rental income of persons",445.1
"375","Delaware","1998","Imputed rent",315
"376","Delaware","1998","Monetary rent",130.1
"377","Delaware","1998","Population (persons) 3/",763335
"378","Delaware","1998","Per capita incomes (dollars)",NA
"379","Delaware","1998","Per capita personal income 4/",29470
"380","Delaware","1998","Per capita net earnings 4/",19840
"381","Delaware","1998","Per capita personal current transfer receipts 4/",3536
"382","Delaware","1998","Per capita income maintenance benefits 4/",273
"383","Delaware","1998","Per capita unemployment insurance compensation 4/",86
"384","Delaware","1998","Per capita retirement and other 4/",3177
"385","Delaware","1998","Per capita dividends, interest, and rent 4/",6093
"386","Delaware","1998","Per capita dividends 4/",1612
"387","Delaware","1998","Per capita interest 4/",3898
"388","Delaware","1998","Per capita rent 4/",583
"389","Delaware","1998","Place of work profile (millions of dollars)",NA
"390","Delaware","1998","Earnings by place of work",18597.2
"391","Delaware","1998","Wages and salaries",13830.6
"392","Delaware","1998","Supplements to wages and salaries",3054.4
"393","Delaware","1998","Employer contributions for employee pension and insurance funds 5/",2061.8
"394","Delaware","1998","Employer contributions for government social insurance",992.6
"395","Delaware","1998","Proprietors' income",1712.2
"396","Delaware","1998","Farm proprietors' income",107.4
"397","Delaware","1998","Nonfarm proprietors' income",1604.8
"398","Delaware","1998","Total employment (number of jobs)",476426
"399","Delaware","1998","Wage and salary employment",417879
"400","Delaware","1998","Proprietors employment",58547
"401","Delaware","1998","Farm proprietors employment 6/",2615
"402","Delaware","1998","Nonfarm proprietors employment",55932
"403","Delaware","1998","Average earnings per job (dollars)",39035
"404","Delaware","1998","Average wages and salaries",33097
"405","Delaware","1998","Average nonfarm proprietors' income",28693
"406","District of Columbia","1998","Place of residence profile",NA
"407","District of Columbia","1998","Personal income (millions of dollars)",21525.5
"408","District of Columbia","1998","Derivation of personal income",NA
"409","District of Columbia","1998","Net earnings by place of residence",14102
"410","District of Columbia","1998","Personal current transfer receipts",2738.8
"411","District of Columbia","1998","Income maintenance benefits 1/",442.5
"412","District of Columbia","1998","Unemployment insurance compensation",69.8
"413","District of Columbia","1998","Retirement and other",2226.5
"414","District of Columbia","1998","Dividends, interest, and rent",4684.8
"415","District of Columbia","1998","Personal dividend income",770.7
"416","District of Columbia","1998","Personal interest income",3578.4
"417","District of Columbia","1998","Imputed interest receipts 2/",2533.6
"418","District of Columbia","1998","Monetary interest receipts",1044.8
"419","District of Columbia","1998","Rental income of persons",335.7
"420","District of Columbia","1998","Imputed rent",213.3
"421","District of Columbia","1998","Monetary rent",122.3
"422","District of Columbia","1998","Population (persons) 3/",565230
"423","District of Columbia","1998","Per capita incomes (dollars)",NA
"424","District of Columbia","1998","Per capita personal income 4/",38083
"425","District of Columbia","1998","Per capita net earnings 4/",24949
"426","District of Columbia","1998","Per capita personal current transfer receipts 4/",4845
"427","District of Columbia","1998","Per capita income maintenance benefits 4/",783
"428","District of Columbia","1998","Per capita unemployment insurance compensation 4/",123
"429","District of Columbia","1998","Per capita retirement and other 4/",3939
"430","District of Columbia","1998","Per capita dividends, interest, and rent 4/",8288
"431","District of Columbia","1998","Per capita dividends 4/",1364
"432","District of Columbia","1998","Per capita interest 4/",6331
"433","District of Columbia","1998","Per capita rent 4/",594
"434","District of Columbia","1998","Place of work profile (millions of dollars)",NA
"435","District of Columbia","1998","Earnings by place of work",40635.4
"436","District of Columbia","1998","Wages and salaries",30716.1
"437","District of Columbia","1998","Supplements to wages and salaries",7200.1
"438","District of Columbia","1998","Employer contributions for employee pension and insurance funds 5/",5241.5
"439","District of Columbia","1998","Employer contributions for government social insurance",1958.7
"440","District of Columbia","1998","Proprietors' income",2719.2
"441","District of Columbia","1998","Farm proprietors' income",0
"442","District of Columbia","1998","Nonfarm proprietors' income",2719.2
"443","District of Columbia","1998","Total employment (number of jobs)",698434
"444","District of Columbia","1998","Wage and salary employment",652232
"445","District of Columbia","1998","Proprietors employment",46202
"446","District of Columbia","1998","Farm proprietors employment 6/",0
"447","District of Columbia","1998","Nonfarm proprietors employment",46202
"448","District of Columbia","1998","Average earnings per job (dollars)",58181
"449","District of Columbia","1998","Average wages and salaries",47094
"450","District of Columbia","1998","Average nonfarm proprietors' income",58855
"451","Florida","1998","Place of residence profile",NA
"452","Florida","1998","Personal income (millions of dollars)",415546.7
"453","Florida","1998","Derivation of personal income",NA
"454","Florida","1998","Net earnings by place of residence",238006.9
"455","Florida","1998","Personal current transfer receipts",61368.9
"456","Florida","1998","Income maintenance benefits 1/",5251.5
"457","Florida","1998","Unemployment insurance compensation",681.6
"458","Florida","1998","Retirement and other",55435.8
"459","Florida","1998","Dividends, interest, and rent",116170.9
"460","Florida","1998","Personal dividend income",30731
"461","Florida","1998","Personal interest income",76846.1
"462","Florida","1998","Imputed interest receipts 2/",39479.4
"463","Florida","1998","Monetary interest receipts",37366.7
"464","Florida","1998","Rental income of persons",8593.7
"465","Florida","1998","Imputed rent",5314
"466","Florida","1998","Monetary rent",3279.7
"467","Florida","1998","Population (persons) 3/",15486559
"468","Florida","1998","Per capita incomes (dollars)",NA
"469","Florida","1998","Per capita personal income 4/",26833
"470","Florida","1998","Per capita net earnings 4/",15369
"471","Florida","1998","Per capita personal current transfer receipts 4/",3963
"472","Florida","1998","Per capita income maintenance benefits 4/",339
"473","Florida","1998","Per capita unemployment insurance compensation 4/",44
"474","Florida","1998","Per capita retirement and other 4/",3580
"475","Florida","1998","Per capita dividends, interest, and rent 4/",7501
"476","Florida","1998","Per capita dividends 4/",1984
"477","Florida","1998","Per capita interest 4/",4962
"478","Florida","1998","Per capita rent 4/",555
"479","Florida","1998","Place of work profile (millions of dollars)",NA
"480","Florida","1998","Earnings by place of work",265915.4
"481","Florida","1998","Wages and salaries",199100
"482","Florida","1998","Supplements to wages and salaries",42184.6
"483","Florida","1998","Employer contributions for employee pension and insurance funds 5/",28561.5
"484","Florida","1998","Employer contributions for government social insurance",13623.1
"485","Florida","1998","Proprietors' income",24630.9
"486","Florida","1998","Farm proprietors' income",1694.1
"487","Florida","1998","Nonfarm proprietors' income",22936.8
"488","Florida","1998","Total employment (number of jobs)",8317201
"489","Florida","1998","Wage and salary employment",6976587
"490","Florida","1998","Proprietors employment",1340614
"491","Florida","1998","Farm proprietors employment 6/",42095
"492","Florida","1998","Nonfarm proprietors employment",1298519
"493","Florida","1998","Average earnings per job (dollars)",31972
"494","Florida","1998","Average wages and salaries",28538
"495","Florida","1998","Average nonfarm proprietors' income",17664
"496","Georgia","1998","Place of residence profile",NA
"497","Georgia","1998","Personal income (millions of dollars)",205109.4
"498","Georgia","1998","Derivation of personal income",NA
"499","Georgia","1998","Net earnings by place of residence",145407.6
"500","Georgia","1998","Personal current transfer receipts",22661.3
"501","Georgia","1998","Income maintenance benefits 1/",2938.9
"502","Georgia","1998","Unemployment insurance compensation",281.9
"503","Georgia","1998","Retirement and other",19440.5
"504","Georgia","1998","Dividends, interest, and rent",37040.5
"505","Georgia","1998","Personal dividend income",9821.7
"506","Georgia","1998","Personal interest income",23277.1
"507","Georgia","1998","Imputed interest receipts 2/",14469.2
"508","Georgia","1998","Monetary interest receipts",8807.9
"509","Georgia","1998","Rental income of persons",3941.8
"510","Georgia","1998","Imputed rent",2649.8
"511","Georgia","1998","Monetary rent",1292
"512","Georgia","1998","Population (persons) 3/",7863536
"513","Georgia","1998","Per capita incomes (dollars)",NA
"514","Georgia","1998","Per capita personal income 4/",26084
"515","Georgia","1998","Per capita net earnings 4/",18491
"516","Georgia","1998","Per capita personal current transfer receipts 4/",2882
"517","Georgia","1998","Per capita income maintenance benefits 4/",374
"518","Georgia","1998","Per capita unemployment insurance compensation 4/",36
"519","Georgia","1998","Per capita retirement and other 4/",2472
"520","Georgia","1998","Per capita dividends, interest, and rent 4/",4710
"521","Georgia","1998","Per capita dividends 4/",1249
"522","Georgia","1998","Per capita interest 4/",2960
"523","Georgia","1998","Per capita rent 4/",501
"524","Georgia","1998","Place of work profile (millions of dollars)",NA
"525","Georgia","1998","Earnings by place of work",162831.6
"526","Georgia","1998","Wages and salaries",121166.3
"527","Georgia","1998","Supplements to wages and salaries",23881.7
"528","Georgia","1998","Employer contributions for employee pension and insurance funds 5/",15873.4
"529","Georgia","1998","Employer contributions for government social insurance",8008.3
"530","Georgia","1998","Proprietors' income",17783.6
"531","Georgia","1998","Farm proprietors' income",1502.7
"532","Georgia","1998","Nonfarm proprietors' income",16281
"533","Georgia","1998","Total employment (number of jobs)",4607959
"534","Georgia","1998","Wage and salary employment",3929292
"535","Georgia","1998","Proprietors employment",678667
"536","Georgia","1998","Farm proprietors employment 6/",51283
